"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User  Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1560226889129725956""",https://twitter.com/Alex21forukr/status/1560226889129725956,"18 Aug 2022 11:27:32","""This was the sound of #Saltivka attack (at the hostel). We were outside.

We don’t mean to only post artillery lands, but we feel strongly that part of our mission is to show how horrific this people’s day-to-day life is. 

#Kharkiv #Ukraine #UkraineWar #україна #Saltivka #Харків https://t.co/tCJ9kCkc1V""",Tweet,"""Twitter for iPhone""",0,1,"""Ukraine Ukraine""",English,"""1547917039251050497""","""Alex21 for Ukraine""",Alex21forukr,"""Alex21 for Ukraine is a task force operating in the hot zones of the war.""",Non-Verified,https://twitter.com/Alex21forukr,157,3,"15-Jul-2022 12:12:57"
"""1560226879352840192""",https://twitter.com/crypt0nerd/status/1560226879352840192,"18 Aug 2022 11:27:30","""Jaroslav Nad', Slovakia's defence minister has stated that the Government of Slovakia will not stop providing military support to Ukraine despite all Russia’s efforts to influence public opinion in his country on this matter
 #UkraineUnderAttack #UkraineWar #RussianWarCrimes https://t.co/jf7jLK0CWw""",Tweet,"""Twitter Web App""",0,4,"""""",English,"""2811503900""","""Crypto Barbossa 🇺🇦""",crypt0nerd,"""crypto kid from Ukraine""",Non-Verified,https://twitter.com/crypt0nerd,116,298,"15-Sep-2014 15:26:59"
"""1560226877414989824""",https://twitter.com/Wahrheitsmini11/status/1560226877414989824,"18 Aug 2022 11:27:29","""Ukrainian drones drop explosives on russian invaders.
#Russian #Rusia #Ukraine #ukraina #UkraineWar  #UkraineRussiaWar https://t.co/YMCYzrv0eU""",ReTweet,"""Twitter Web App""",0,0,"""""",English,"""1497213658446839823""","""Slava Ukraini! Nimechchyna na vashomu bots!""",Wahrheitsmini11,"""""",Non-Verified,https://twitter.com/Wahrheitsmini11,4,23,"25-Feb-2022 14:15:46"
"""1560226615535214592""",https://twitter.com/Kiborgzzz/status/1560226615535214592,"18 Aug 2022 11:26:27","""-2 #ruSSian tanks .
 #Ukrainian Antitank complex  #Stugna P. 
#Donetsk direction.
&lt;Battle footage&gt;

#Ukraine #UkraineRussiaWar #UkraineWar #ruSSia https://t.co/eG3G4JyZn0""",Tweet,"""Twitter Web App""",0,2,"""""",English,"""1496830511779651584""","""Kiborgz""",Kiborgzzz,"""Not vegetarian""",Non-Verified,https://twitter.com/Kiborgzzz,409,81,"24-Feb-2022 12:53:15"
"""1560226438632341504""",https://twitter.com/DeuNachrichten/status/1560226438632341504,"18 Aug 2022 11:25:45","""🔺
Ingulets, where the enemy heavy losses trying to hold a bridgehead near the village Andreevka. 
Position fighting near Vysokopolye, Potemkino in the Nikopol direction.
16/16
https://t.co/d9YpGcSFtz /@boris_rozhin/
#UkraineWarNews #Report #UkraineRussiaWar #UkraineWar""",Reply,"""Twitter Web App""",6,30,"""""",English,"""2709836953""","""🇷🇺🇺🇦 News from Slavyangrad ⚔ Reports & Vids 🔥""",DeuNachrichten,"""The latest 🇷🇺🇺🇦⚔️ map reports and videos take priority. For more news, info, special reports by Gleb Bazov & 🇬🇧 chat you are welcome on 👉https://t.co/yOISn2GKPS""",Non-Verified,https://twitter.com/DeuNachrichten,6190,26,"05-Aug-2014 16:57:02"
"""1560226386018803712""",https://twitter.com/1PijVT1D3GIgwpG/status/1560226386018803712,"18 Aug 2022 11:25:32","""Ne tolère jamais l'offense à l'égard de ton Prophète.
Ne recule pas,et ne cède rien
À bas tous les produits français et indien
#BoycottFrance pour toujours
#France
#UkraineRussiaWar
#UkraineWar
#orages
#مقاطعه_المنتجات_الفرنسية659
#إلا_رسول_الله
#غزة
#فلسطين
#القدس
#التطبيع_خيانة""",ReTweet,"""Twitter for Android""",0,0,"""""",French,"""1400527282129747970""","""سهم مغردsahm@""",1PijVT1D3GIgwpG,"""‏‏قبل الرمي تملأ الكنائن (مثل عربي)
أما أنا فسهامي التغريد و كنانتي تويتر .""",Non-Verified,https://twitter.com/1PijVT1D3GIgwpG,362,279,"03-Jun-2021 19:00:10"
"""1560226325528514560""",https://twitter.com/AngelSOArout66/status/1560226325528514560,"18 Aug 2022 11:25:18","""Glory to Ukraine and it's Soldiers 🇺🇦🇺🇦
#UkraineRussiaWar #UkraineWar https://t.co/WiWe7W7USl""",ReTweet,"""Twitter for Android""",0,0,"""""",English,"""1550868059665072133""","""Angel SOA""",AngelSOArout66,"""SONS OF ANARCHY #SOA""",Non-Verified,https://twitter.com/AngelSOArout66,6,496,"23-Jul-2022 15:39:36"
"""1560226287226068992""",https://twitter.com/ATrubert/status/1560226287226068992,"18 Aug 2022 11:25:09","""COMMENT: #Turkey moves closer to Russia, but is immune to Western sanctions 
 #bne #bneEditorsPicks #EmergingMarkets #Russia #Ukraine  #sanctions #RussiaUkraineWar #ukrainewar #warukraine https://t.co/MrVPHtKQnW https://t.co/f8d5pNVbXe""",ReTweet,"""Twitter for Android""",0,0,"""""",English,"""366710535""","""Anne Trubert""",ATrubert,"""sport et actualité""",Non-Verified,https://twitter.com/ATrubert,325,152,"02-Sep-2011 17:37:23"
"""1560226261133303808""",https://twitter.com/AlisaRuban/status/1560226261133303808,"18 Aug 2022 11:25:02","""At least 12 people killed in and near #Kharkiv city in past 24 hours by #Russia strikes on residential buildings

#UkraineWar""",ReTweet,"""Twitter for iPhone""",0,0,"""""",English,"""2238864764""","""Alisa Muzergues""",AlisaRuban,"""🇺🇦🇪🇺 | EU Neighbourhood Policy | @LoyolaChicago alumna | In Rule of Law I trust | Personal tweets""",Non-Verified,https://twitter.com/AlisaRuban,1341,1747,"10-Dec-2013 09:11:34"
"""1560226229113978880""",https://twitter.com/AngelSOArout66/status/1560226229113978880,"18 Aug 2022 11:24:55","""Let's support the valiant warriors with likes and retweets ‼️
 Slava Ukraini!! 🌻🇺🇦🌻
#UkraineWar #UkraineRussiaWar https://t.co/rfmXCJb9Kv""",ReTweet,"""Twitter for Android""",0,0,"""""",English,"""1550868059665072133""","""Angel SOA""",AngelSOArout66,"""SONS OF ANARCHY #SOA""",Non-Verified,https://twitter.com/AngelSOArout66,6,496,"23-Jul-2022 15:39:36"
